Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
DWCC,2025,5,282,676878.00,0.00,170.74,121660.37,80000.00,123304.02,,,,,,,
DWCC,2025,5,1,16672825.00,0.00,0.00,7201196.16,11563654.00,15248574.32,,,,,,,
DWCC,2025,5,64,0.00,0.00,0.00,221.25,,73.50,,,,,,,
DWCC,2025,5,48,1644925.00,0.00,0.00,855995.25,,1707008.52,,,,,,,
DWCC,2025,54,766,1332852.00,0.00,156637.28,351109.32,600000.00,934573.82,,,,,,,
DWCC,2025,5,251,0.00,0.00,0.00,0.00,,822.89,,,,,,,
DWCC,2025,5,2,990404.00,0.00,0.00,1469140.74,2361379.00,5041647.44,,,,,,,
DWCC,2025,4,698,0.00,0.00,0.00,0.00,,21537.00,,,,,,,
DWCC,2025,5,50,0.00,0.00,0.00,0.00,,793.07,,,,,,,
DWCC,2025,4,48,78115.00,0.00,0.00,46144.81,,90693.16,,,,,,,
DWCC,2025,5,57,9018.00,0.00,0.00,655.00,,812.92,,,,,,,
DWCC,2025,4,711,8727.00,0.00,0.00,13144.62,22000.00,47344.45,,,,,,,
DWCC,2025,4,2,0.00,0.00,0.00,707.99,,12628.25,,,,,,,
DWCC,2025,4,85,0.00,0.00,0.00,0.00,,176.08,,,,,,,
DWCC,2025,5,735,0.00,0.00,0.00,905.17,300.00,1205.17,,,,,,,
DWCC,2025,5,80,0.00,0.00,0.00,0.00,,730.00,,,,,,,
DWCC,2025,5,260,0.00,0.00,0.00,32309.06,70000.00,105410.34,,,,,,,
DWCC,2025,5,58,0.00,0.00,0.00,1094.61,,2258.45,,,,,,,
DWCC,2025,5,698,0.00,0.00,0.00,0.00,10000.00,4640.38,,,,,,,
DWCC,2025,4,80,0.00,0.00,0.00,2769.40,,0.00,,,,,,,
DWCC,2025,4,735,9617.00,0.00,0.00,1628.10,1797.36,2515.86,,,,,,,
DWCC,2025,54,46,2188.00,0.00,0.00,1106.25,,2626.38,,,,,,,
DWCC,2025,5,135,5020.00,0.00,0.00,245.00,1000.00,949.60,,,,,,,
DWCC,2025,4,178,572859.00,0.00,0.00,323264.04,827000.00,1015636.72,,,,,,,
DWCC,2025,5,239,0.00,0.00,0.00,0.00,,780.00,,,,,,,
DWCC,2025,5,21,0.00,0.00,0.00,268.20,,187.20,,,,,,,
DWCC,2025,4,135,0.00,0.00,0.00,71328.52,,65534.63,,,,,,,
DWCC,2025,5,228,0.00,0.00,0.00,6109.03,,,,,,,,,
DWCC,2025,5,6,0.00,0.00,0.00,0.00,,258.40,,,,,,,
DWCC,2025,4,177,0.00,0.00,0.00,0.00,0.00,7158.79,,,,,,,
DWCC,2025,5,9,165719.00,0.00,0.00,411741.23,647296.00,720346.51,,,,,,,
DWCC,2025,5,39,33958.00,0.00,0.00,0.00,,35934.28,,,,,,,
DWCC,2025,5,232,0.00,0.00,0.01,31730.78,74000.00,107089.58,,,,,,,
DWCC,2025,54,37,84438.00,0.00,0.00,27637.49,72493.00,61966.52,,,,,,,
DWCC,2025,5,622,105413.00,0.00,0.00,38665.74,,3101.30,,,,,,,
DWCC,2025,5,237,967271.00,0.00,4548.00,362759.14,275000.00,442319.56,,,,,,,
DWCC,2025,5,5,522357.00,0.00,0.00,180877.88,,343011.20,,,,,,,
DWCC,2025,4,158,0.00,0.00,42212.89,47370.47,3000.00,34128.34,,,,,,,
DWCC,2025,4,173,0.00,0.00,0.00,4211.55,,4011.00,,,,,,,
DWCC,2025,4,755,477464.00,0.00,0.00,201360.80,171000.00,336499.19,,,,,,,
DWCC,2025,5,229,0.00,0.00,0.00,169.68,500.00,3017.93,,,,,,,
DWCC,2025,5,233,0.00,0.00,0.00,0.00,,104.55,,,,,,,
DWCC,2025,4,745,0.00,0.00,0.00,9617.00,,9617.00,,,,,,,
DWCC,2025,4,756,25323.00,0.00,0.00,23777.00,,0.00,,,,,,,
DWCC,2025,4,174,0.00,0.00,37.09,8129.46,15000.00,16459.57,,,,,,,
DWCC,2025,5,145,0.00,0.00,0.00,13466.77,18000.00,49352.17,,,,,,,
DWCC,2025,5,624,0.00,0.00,0.00,0.00,,41857.60,,,,,,,
DWCC,2025,5,293,399238.00,0.00,267270.00,128288.42,4005.64,233055.41,,,,,,,
DWCC,2025,4,37,325062.00,0.00,0.00,151524.30,299714.00,493848.80,,,,,,,
DWCC,2025,4,145,0.00,0.00,0.00,1205.37,,637.79,,,,,,,
DWCC,2025,5,626,0.00,0.00,0.00,0.00,,21939.95,,,,,,,
DWCC,2025,4,387,0.00,0.00,0.00,0.00,,0.00,,,,,,,
DWCC,2025,5,663,0.00,0.00,0.00,66746.46,,735615.54,,,,,,,
DWCC,2025,5,242,0.00,0.00,24525.50,8579.84,4000.00,28577.16,,,,,,,
DWCC,2025,5,45,3125.00,0.00,0.00,15418.48,,36884.49,,,,,,,
DWCC,2025,5,287,0.00,0.00,0.00,0.00,,6975.00,,,,,,,
DWCC,2025,5,742,209072.00,0.00,0.00,0.00,214969.00,23844.96,,,,,,,
DWCC,2025,5,755,0.00,0.00,0.00,0.00,,4848.71,,,,,,,
DWCC,2025,4,225,35500.00,0.00,0.00,18639.53,40000.00,50694.30,,,,,,,
DWCC,2025,5,20,0.00,0.00,0.00,21535.35,,16800.35,,,,,,,
DWCC,2025,4,172,0.00,0.00,8593.68,2806.32,,6461.28,,,,,,,
DWCC,2025,5,241,250000.00,0.00,12644.75,158488.22,80000.00,179802.67,,,,,,,
DWCC,2025,5,3,427722.00,0.00,0.00,118532.30,199083.00,231792.44,,,,,,,
DWCC,2025,5,130,0.00,0.00,4200.00,3000.00,,7200.00,,,,,,,
DWCC,2025,5,240,250000.00,0.00,89018.22,12258.30,,68351.61,,,,,,,
DWCC,2025,54,3,0.00,0.00,0.00,2552.24,,,,,,,,,
DWCC,2025,5,633,9300.00,0.00,0.00,9300.00,,134684.86,,,,,,,
DWCC,2025,5,7,0.00,0.00,0.00,0.00,,145.20,,,,,,,
DWCC,2025,5,231,152598.00,0.00,1446.50,116481.49,75000.00,104190.17,,,,,,,
DWCC,2025,5,158,5000.00,0.00,24053.60,14827.81,5000.00,34076.72,,,,,,,
DWCC,2025,5,295,4000.00,0.00,2586.00,1414.00,,5504.25,,,,,,,
DWCC,2025,5,37,6952141.00,0.00,0.00,3050903.49,6305113.00,6108040.80,,,,,,,
DWCC,2025,4,186,0.00,0.00,0.00,0.00,0.00,101.50,,,,,,,
DWCC,2025,4,241,0.00,0.00,0.00,0.00,,597.59,,,,,,,
DWCC,2025,4,131,0.00,0.00,17819.20,12965.80,4000.00,55924.02,,,,,,,
DWCC,2025,5,131,30000.00,0.00,8700.00,1655.00,,7212.33,,,,,,,
EHCC,2025,4,173,0.00,0.00,0.00,46857.64,,,,,,,,,
EHCC,2025,4,172,35000.00,0.00,13966.15,9983.85,0.00,18433.71,,,,,,,
EHCC,2025,4,63,3022.00,0.00,0.00,0.00,2194.00,3387.87,,,,,,,
EHCC,2025,5,230,0.00,0.00,27753.62,339.96,10000.00,191389.23,,,,,,,
EHCC,2025,5,258,0.00,0.00,0.00,1416.60,,,,,,,,,
EHCC,2025,5,302,0.00,0.00,6500.00,9100.00,,,,,,,,,
EHCC,2025,4,174,0.00,0.00,0.00,175.40,25000.00,927.27,,,,,,,
EHCC,2025,5,264,0.00,0.00,0.00,1968.31,,,,,,,,,
EHCC,2025,5,799,0.00,0.00,696554.80,1191833.73,-1750487.88,0.00,,,,,,,
EHCC,2025,5,186,0.00,0.00,0.00,39.00,550.00,422.50,,,,,,,
EHCC,2025,5,51,15030.00,0.00,0.00,11859.00,0.00,14220.00,,,,,,,
EHCC,2025,4,225,60301.00,0.00,0.00,704.14,15000.00,21794.17,,,,,,,
EHCC,2025,4,186,550.00,0.00,0.00,186.00,0.00,540.00,,,,,,,
EHCC,2025,5,277,0.00,0.00,480.18,3967.92,50000.00,115696.17,,,,,,,
EHCC,2025,4,179,490780.00,0.00,0.00,252047.25,-83859.00,298411.88,,,,,,,
EHCC,2025,5,271,0.00,0.00,1667.00,1667.00,,,,,,,,,
EHCC,2025,5,225,100000.00,0.00,0.00,60081.19,-274976.89,111563.43,,,,,,,
EHCC,2025,5,174,31500.00,0.00,15979.72,8117.28,,,,,,,,,
EHCC,2025,4,57,35750.00,0.00,0.00,1742.50,1840.00,983.98,,,,,,,
EHCC,2025,5,711,5768.00,0.00,0.00,0.00,0.00,6602.72,,,,,,,
EHCC,2025,5,263,0.00,0.00,0.00,6050.00,,,,,,,,,
EHCC,2025,4,177,228285.00,0.00,0.00,52778.39,23479.00,134865.91,,,,,,,
EHCC,2025,4,282,0.00,0.00,0.00,1120.93,10000.00,11386.49,,,,,,,
EHCC,2025,5,299,0.00,0.00,0.00,46958.82,,,,,,,,,
EHCC,2025,5,260,0.00,0.00,0.00,100490.08,-83907.61,83665.10,,,,,,,
EHCC,2025,5,228,0.00,0.00,0.00,3274.43,,,,,,,,,
EHCC,2025,5,320,33400.00,0.00,42580.00,8220.00,-17128.00,2703.00,,,,,,,
EHCC,2025,4,260,0.00,0.00,0.00,29530.02,,,,,,,,,
EHCC,2025,5,229,4004562.00,0.00,822395.19,2445486.74,816983.00,4572233.84,,,,,,,
EHCC,2025,4,178,959570.00,0.00,0.00,613342.94,84157.00,814811.68,,,,,,,
EHCC,2025,5,671,804853.00,0.00,171399.17,633453.40,3747221.75,0.00,,,,,,,
EHCC,2025,4,135,40000.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,5,248,0.00,0.00,8686.40,1783.90,,,,,,,,,
EHCC,2025,5,134,0.00,0.00,0.00,7948.50,0.00,16800.00,,,,,,,
EHCC,2025,5,85,43500.00,0.00,39302.83,42487.54,0.00,52706.96,,,,,,,
EHCC,2025,5,239,207025.00,0.00,0.00,31977.25,50000.00,77553.48,,,,,,,
EHCC,2025,5,291,62400.00,0.00,0.00,0.00,0.00,103950.00,,,,,,,
EHCC,2025,5,247,0.00,0.00,0.00,190.10,10000.00,13303.23,,,,,,,
EHCC,2025,5,131,87000.00,0.00,146941.21,109980.95,0.00,174072.94,,,,,,,
EHCC,2025,5,88,240521.00,0.00,0.00,43633.25,-237436.89,65561.37,,,,,,,
EHCC,2025,5,77,10000.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,5,109,0.00,0.00,0.00,574.43,,,,,,,,,
EHCC,2025,4,85,0.00,0.00,0.00,295.95,,,,,,,,,
EHCC,2025,5,246,23800.00,0.00,0.00,23800.00,,,,,,,,,
EHCC,2025,4,241,0.00,0.00,0.00,29.95,0.00,652.39,,,,,,,
EHCC,2025,4,291,12541.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,5,802,0.00,0.00,0.00,10400.40,-62403.90,0.00,,,,,,,
EHCC,2025,5,128,54000.00,0.00,29999.58,2709.18,15000.00,18434.00,,,,,,,
EHCC,2025,5,241,143845.00,0.00,0.00,21180.03,150000.00,189060.55,,,,,,,
EHCC,2025,4,120,29200.00,0.00,0.00,15502.70,50000.00,335027.79,,,,,,,
EHCC,2025,5,245,0.00,0.00,0.00,140.00,,,,,,,,,
EHCC,2025,4,287,5700.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
EHCC,2025,5,240,140000.00,0.00,51891.20,65998.30,25000.00,71806.56,,,,,,,
EHCC,2025,5,623,565338.00,0.00,48888.09,516449.02,156725.77,0.00,,,,,,,
EHCC,2025,5,295,0.00,0.00,18000.00,0.00,10000.00,8051.45,,,,,,,
EHCC,2025,5,164,0.00,0.00,0.00,53.98,,,,,,,,,
EHCC,2025,5,256,167440.00,0.00,714414.84,791178.68,-951049.51,1322466.21,,,,,,,
EHCC,2025,5,158,43000.00,0.00,71725.72,115967.63,0.00,86464.36,,,,,,,
EHCC,2025,5,282,500000.00,0.00,401893.07,301272.53,-159679.71,351079.87,,,,,,,
EHCC,2025,5,231,122975.00,0.00,0.00,9711.47,50000.00,4367.46,,,,,,,
EHCC,2025,5,255,85000.00,0.00,11318.19,97332.79,50000.00,70907.13,,,,,,,
EHCC,2025,5,120,120494.00,0.00,72173.66,39955.90,209040.75,377565.91,,,,,,,
EHCC,2025,5,145,15000.00,0.00,0.00,228.60,1842.00,4215.54,,,,,,,
EHCC,2025,5,237,1484636.00,0.00,41580.00,137202.56,450000.00,1057652.35,,,,,,,
EHCC,2025,5,283,0.00,0.00,0.00,170.70,,,,,,,,,
EHCC,2025,4,698,0.00,0.00,0.00,3675.01,5708.00,66198.76,,,,,,,
EHCC,2025,5,232,707155.00,0.00,67732.27,180622.09,475944.09,1194064.15,,,,,,,
EHCC,2025,5,293,232720.00,0.00,131275.00,13725.00,312171.00,81215.52,,,,,,,
EHCC,2025,4,80,10000.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,5,698,0.00,0.00,0.00,5599.83,174.28,10662.61,,,,,,,
EHCC,2025,5,233,0.00,0.00,0.00,2245.05,,,,,,,,,
EHCC,2025,5,251,2500000.00,0.00,0.00,1812530.00,,,,,,,,,
EHCC,2025,5,139,0.00,0.00,0.00,232.25,,,,,,,,,
EHCC,2025,5,135,174166.00,0.00,38283.90,32221.06,0.00,143328.07,,,,,,,
EHCC,2025,5,249,0.00,0.00,0.00,3282.34,,,,,,,,,
EHCC,2025,4,711,83496.00,0.00,0.00,49464.36,21703.00,92419.60,,,,,,,
EHCC,2025,4,128,0.00,0.00,0.00,3947.90,,,,,,,,,
EHCC,2025,4,755,686594.00,0.00,0.00,319656.00,-194979.94,259448.50,,,,,,,
EHCC,2025,5,805,0.00,0.00,0.00,6000.00,,,,,,,,,
EHCC,2025,4,742,49243.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,4,46,9000.00,0.00,0.00,5269.25,0.00,6099.56,,,,,,,
EHCC,2025,5,5,1078750.00,0.00,0.00,700026.21,344556.63,1095080.40,,,,,,,
EHCC,2025,5,756,0.00,0.00,0.00,37042.00,,,,,,,,,
EHCC,2025,5,45,0.00,0.00,0.00,16178.56,0.00,16297.31,,,,,,,
EHCC,2025,4,756,39322.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
EHCC,2025,5,50,0.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,4,9,0.00,0.00,0.00,14837.50,,,,,,,,,
EHCC,2025,4,48,63927.00,0.00,0.00,39704.62,,167406.02,,,,,,,
EHCC,2025,5,3,391544.00,0.00,0.00,238216.31,146471.45,314034.18,,,,,,,
EHCC,2025,4,45,0.00,0.00,0.00,919.93,,,,,,,,,
EHCC,2025,5,742,456302.00,0.00,0.00,0.00,,,,,,,,,
EHCC,2025,5,9,308834.00,0.00,0.00,200597.64,105146.94,159074.06,,,,,,,
EHCC,2025,5,730,15000.00,0.00,0.00,4731.31,-7843.00,2367.56,,,,,,,
EHCC,2025,5,39,85300.00,0.00,0.00,70866.71,0.00,97839.82,,,,,,,
EHCC,2025,60,48,34975.00,0.00,0.00,20296.67,0.00,12648.44,,,,,,,
EHCC,2025,4,745,20059.00,0.00,0.00,22099.11,0.00,20059.00,,,,,,,
EHCC,2025,5,20,0.00,0.00,0.00,149.60,0.00,5342.74,,,,,,,
EHCC,2025,60,46,4040.00,0.00,0.00,2341.14,0.00,1114.90,,,,,,,
EHCC,2025,60,37,127576.00,0.00,0.00,62563.52,74218.67,29646.05,,,,,,,
EHCC,2025,5,37,14520007.00,0.00,0.00,6292764.03,4820768.14,9430223.63,,,,,,,
EHCC,2025,4,747,3600156.00,0.00,0.00,3480790.00,0.00,3965528.00,,,,,,,
EHCC,2025,4,37,322496.00,0.00,0.00,147701.49,113419.97,97270.42,,,,,,,
EHCC,2025,5,48,3154311.00,0.00,0.00,1612098.46,0.00,2819425.30,,,,,,,
EHCC,2025,5,1,33029568.00,0.00,0.00,15593705.43,9392777.66,23451283.35,,,,,,,
EHCC,2025,60,766,1452484.00,0.00,268825.23,612757.96,132516.93,1369921.85,,,,,,,
EHCC,2025,5,735,15196.00,0.00,0.00,767.00,1922.89,558.00,,,,,,,
EHCC,2025,5,46,411690.00,0.00,0.00,287633.53,0.00,438034.45,,,,,,,
EHCC,2025,4,1,801525.00,0.00,0.00,353619.00,282905.44,635595.47,,,,,,,
EHCC,2025,60,1,273748.00,0.00,0.00,146723.91,127744.09,79533.65,,,,,,,
EHCC,2025,60,764,100000.00,0.00,0.00,37516.90,250689.79,288044.32,,,,,,,
EHCC,2025,4,2,0.00,0.00,0.00,11631.23,46687.91,5277.90,,,,,,,
EHCC,2025,5,2,4879759.00,0.00,0.00,4004204.38,3314384.88,6702949.67,,,,,,,
EHCC,2025,60,763,35000.00,0.00,12897.77,10815.87,29416.20,53589.94,,,,,,,
EHCC,2025,60,767,25000.00,0.00,0.00,0.00,315432.00,0.00,,,,,,,
EHCC,2025,60,2,0.00,0.00,0.00,23196.02,22277.98,31116.24,,,,,,,
EHCC,2025,4,3,0.00,0.00,0.00,2902.68,6404.08,16.63,,,,,,,
EHCC,2025,60,768,0.00,0.00,31400.00,0.00,,,,,,,,,
EHCC,2025,4,51,5000.00,0.00,0.00,1946.00,,,,,,,,,
GRANTS,2025,42,320,132880.00,0.00,118652.15,12242.50,303243.50,0.00,,,,,,,
GRANTS,2025,42,39,0.00,0.00,0.00,1596.48,13568.50,0.00,,,,,,,
GRANTS,2025,42,406,3152568.00,0.00,6881.68,0.00,642381.94,0.00,,,,,,,
GRANTS,2025,42,37,1916406.00,0.00,0.00,28125.22,342185.26,0.00,,,,,,,
GRANTS,2025,42,225,20227.00,0.00,0.00,0.00,,0.00,,,,,,,
GRANTS,2025,42,48,0.00,0.00,0.00,10361.22,80638.26,0.00,,,,,,,
GRANTS,2025,42,698,5753865.00,0.00,0.00,0.00,,,,,,,,,
GRANTS,2025,42,290,507930.00,0.00,0.00,0.00,,,,,,,,,
GRANTS,2025,42,46,0.00,0.00,0.00,1340.19,13983.96,0.00,,,,,,,
GRANTS,2025,42,407,930796.00,0.00,3895064.61,76743.97,132935.64,0.00,,,,,,,
GRANTS,2025,42,45,0.00,0.00,0.00,626.21,5387.38,0.00,,,,,,,
GRANTS,2025,42,9,50000.00,0.00,0.00,42427.06,348519.98,0.00,,,,,,,
GRANTS,2025,42,120,3500.00,0.00,0.00,0.00,,,,,,,,,
GRANTS,2025,42,1,670465.00,0.00,0.00,56054.42,641567.07,0.00,,,,,,,
GRANTS,2025,42,410,0.00,0.00,2955.00,738.75,49428.43,0.00,,,,,,,
GRANTS,2025,42,57,11007.00,0.00,0.00,0.00,,,,,,,,,
GRANTS,2025,42,411,905816.00,0.00,0.00,0.00,130852.11,0.00,,,,,,,
GRANTS,2025,42,409,114710.00,0.00,0.00,994.43,125377.98,0.00,,,,,,,
GRANTS,2025,42,408,2798574.00,0.00,0.00,0.00,946108.92,0.00,,,,,,,
HDQ,2025,41,39,0.00,0.00,0.00,6961.19,,,,,,,,,
HDQ,2025,43,39,0.00,0.00,0.00,7716.77,92601.24,0.00,,,,,,,
HDQ,2025,41,170,0.00,0.00,1205.82,109.62,,,,,,,,,
HDQ,2025,43,144,100000.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,43,485,2737606.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,746,1777802.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,145,0.00,0.00,0.00,5507.84,,,,,,,,,
HDQ,2025,44,37,466553.00,0.00,0.00,27309.80,195400.75,0.00,,,,,,,
HDQ,2025,41,44,21886244.00,0.00,0.00,2375127.23,27169209.77,0.00,,,,,,,
HDQ,2025,41,85,0.00,0.00,67612.79,10384.67,,,,,,,,,
HDQ,2025,39,85,0.00,0.00,680.40,7000.00,,,,,,,,,
HDQ,2025,43,37,4270236.00,0.00,0.00,354206.17,2188774.46,0.00,,,,,,,
HDQ,2025,43,514,0.00,0.00,0.00,28504.93,,,,,,,,,
HDQ,2025,41,158,70000.00,0.00,96335.07,6881.37,50000.00,0.00,,,,,,,
HDQ,2025,41,745,3788.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,131,0.00,0.00,37071.38,0.00,5000.00,0.00,,,,,,,
HDQ,2025,43,46,0.00,0.00,0.00,15766.54,189198.48,0.00,,,,,,,
HDQ,2025,41,178,183990.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,41,46,0.00,0.00,0.00,10272.02,123264.24,0.00,,,,,,,
HDQ,2025,39,46,0.00,0.00,0.00,5696.01,68352.12,0.00,,,,,,,
HDQ,2025,41,671,3256235.00,0.00,1016140.60,80300.00,2159794.40,0.00,,,,,,,
HDQ,2025,44,46,0.00,0.00,0.00,1897.43,22769.16,0.00,,,,,,,
HDQ,2025,39,120,64000.00,0.00,900.00,180.00,19889.86,0.00,,,,,,,
HDQ,2025,41,120,1181626.00,0.00,4200.00,2490.18,200014.00,0.00,,,,,,,
HDQ,2025,43,120,19435.00,0.00,960.00,192.00,28001.12,0.00,,,,,,,
HDQ,2025,41,666,0.00,0.00,0.00,79173.43,,,,,,,,,
HDQ,2025,41,135,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,88,0.00,0.00,0.00,185.50,,,,,,,,,
HDQ,2025,41,144,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,44,45,0.00,0.00,0.00,2785.55,2785.55,0.00,,,,,,,
HDQ,2025,43,45,0.00,0.00,0.00,1121.07,13452.84,0.00,,,,,,,
HDQ,2025,41,45,0.00,0.00,0.00,676.60,8119.20,0.00,,,,,,,
HDQ,2025,39,45,0.00,0.00,0.00,310.54,3726.48,0.00,,,,,,,
HDQ,2025,41,698,337754.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,41,130,0.00,0.00,11105.00,700.00,,,,,,,,,
HDQ,2025,41,633,1010544.00,0.00,46274.99,19226.50,7423.30,0.00,,,,,,,
HDQ,2025,44,85,7135.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,139,0.00,0.00,2704.00,227.00,,,,,,,,,
HDQ,2025,43,85,0.00,0.00,9641.39,3011.49,,,,,,,,,
HDQ,2025,41,143,0.00,0.00,0.00,208640.70,-208640.70,0.00,,,,,,,
HDQ,2025,41,128,0.00,0.00,59274.96,7139.58,225000.00,0.00,,,,,,,
HDQ,2025,41,291,12000.00,0.00,0.00,0.00,12000.00,0.00,,,,,,,
HDQ,2025,41,231,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,43,231,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,755,5449922.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,39,9,24569.00,0.00,0.00,50429.91,386630.09,0.00,,,,,,,
HDQ,2025,41,233,451500.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,756,62577.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,237,0.00,0.00,0.00,525.00,,,,,,,,,
HDQ,2025,43,293,594441.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,240,0.00,0.00,0.00,0.00,175000.00,0.00,,,,,,,
HDQ,2025,44,5,425901.00,0.00,0.00,48596.16,583153.92,0.00,,,,,,,
HDQ,2025,43,5,569281.00,0.00,0.00,73764.11,885169.32,0.00,,,,,,,
HDQ,2025,41,757,510119.00,0.00,0.00,0.00,3506764.00,0.00,,,,,,,
HDQ,2025,43,291,10000.00,0.00,18323.00,81677.00,90744.00,0.00,,,,,,,
HDQ,2025,41,748,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,43,260,0.00,0.00,0.00,61.88,,,,,,,,,
HDQ,2025,39,1,2234614.00,0.00,0.00,269892.96,1616183.39,0.00,,,,,,,
HDQ,2025,41,1,5597067.00,0.00,0.00,687107.29,5251452.87,0.00,,,,,,,
HDQ,2025,43,1,7851919.00,0.00,0.00,890912.75,6916473.82,0.00,,,,,,,
HDQ,2025,39,282,25713.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,44,1,444885.00,0.00,0.00,49747.23,170808.69,0.00,,,,,,,
HDQ,2025,41,5,137698.00,0.00,0.00,17078.68,204944.16,0.00,,,,,,,
HDQ,2025,43,282,38790.00,0.00,0.00,25.99,52521.49,0.00,,,,,,,
HDQ,2025,39,5,703153.00,0.00,0.00,114592.05,1375104.60,0.00,,,,,,,
HDQ,2025,41,260,0.00,0.00,0.00,3011.35,,,,,,,,,
HDQ,2025,41,3,16966.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,43,3,0.00,0.00,0.00,5173.62,39667.38,0.00,,,,,,,
HDQ,2025,41,241,0.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,39,291,73183.00,0.00,0.00,2400.00,107600.00,0.00,,,,,,,
HDQ,2025,43,230,0.00,0.00,2223.23,0.00,,,,,,,,,
HDQ,2025,41,282,134760.00,0.00,5456.50,3307.93,211070.14,0.00,,,,,,,
HDQ,2025,41,174,0.00,0.00,18337.32,6112.44,0.00,0.00,,,,,,,
HDQ,2025,41,9,1104541.00,0.00,0.00,68681.46,526553.54,0.00,,,,,,,
HDQ,2025,43,411,1953649.00,0.00,581388.66,1546.00,,,,,,,,,
HDQ,2025,43,21,0.00,0.00,0.00,144.54,,,,,,,,,
HDQ,2025,43,407,0.00,0.00,10266689.53,386324.68,,,,,,,,,
HDQ,2025,41,177,12000.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,43,406,75000.00,0.00,60813.32,2272.68,,,,,,,,,
HDQ,2025,43,408,198539.00,0.00,0.00,710093.81,,,,,,,,,
HDQ,2025,41,749,302608.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,411,0.00,0.00,10261.80,0.00,0.00,0.00,,,,,,,
HDQ,2025,41,173,0.00,0.00,43377.56,5933.40,,,,,,,,,
HDQ,2025,43,412,0.00,0.00,0.00,68433.32,,,,,,,,,
HDQ,2025,39,37,1351284.00,0.00,0.00,129355.62,765344.31,0.00,,,,,,,
HDQ,2025,41,37,1539427.00,0.00,0.00,232082.64,1412698.76,0.00,,,,,,,
HDQ,2025,41,172,0.00,0.00,53625.17,4360.53,,,,,,,,,
HDQ,2025,41,747,940910.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
HDQ,2025,44,225,3705.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,43,480,28766325.00,0.00,0.00,1999778.62,702932.77,0.00,,,,,,,
HDQ,2025,41,230,0.00,0.00,1374.11,1643.66,50000.00,0.00,,,,,,,
HDQ,2025,43,320,188000.00,0.00,567818.69,33878.31,,,,,,,,,
HDQ,2025,39,230,0.00,0.00,0.00,304.38,,,,,,,,,
HDQ,2025,44,9,0.00,0.00,0.00,39391.52,317085.48,0.00,,,,,,,
HDQ,2025,41,179,6000.00,0.00,0.00,376.97,0.00,0.00,,,,,,,
HDQ,2025,43,344,0.00,0.00,0.00,37.51,,,,,,,,,
HDQ,2025,43,9,633810.00,0.00,0.00,201432.67,1545637.68,0.00,,,,,,,
HDQ,2025,43,225,30000.00,0.00,0.00,1574.17,,,,,,,,,
HDQ,2025,41,225,80000.00,0.00,202.40,9811.30,50000.00,0.00,,,,,,,
HDQ,2025,39,225,0.00,0.00,0.00,693.15,23846.60,0.00,,,,,,,
HDQ,2025,43,20,0.00,0.00,0.00,28.11,,,,,,,,,
HDQ,2025,41,754,19598.00,0.00,0.00,0.00,,,,,,,,,
HDQ,2025,41,186,10000.00,0.00,0.00,903.54,0.00,0.00,,,,,,,
HDQ,2025,43,343,0.00,0.00,0.00,311.72,,,,,,,,,
HDQ,2025,43,711,22777.00,0.00,0.00,0.00,55000.00,0.00,,,,,,,
HDQ,2025,43,57,0.00,0.00,0.00,2653.48,,,,,,,,,
